Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
114.577;-114.576;-0.551185;11.4577;11.4577;-11.4576;-0.0551185;-11.4576;-0.0551185;-0.150738;-0.000851703;0;0.1;1312.79;0;
113.861;-113.86;-0.324122;11.3861;11.3861;-11.386;-0.0324122;-11.386;-0.0324122;-0.150279;-0.000847695;0;0.1;1296.42;0;
110.938;-110.932;1.19286;11.0938;11.0938;-11.0932;0.119286;-11.0932;0.119286;-0.149829;-0.000843687;0;0.1;1230.73;0;
109.134;-109.128;1.09367;10.9134;10.9134;-10.9128;0.109367;-10.9128;0.109367;-0.149388;-0.000839679;0;0.1;1191.01;0;
107.329;-107.324;0.99447;10.7329;10.7329;-10.7324;0.099447;-10.7324;0.099447;-0.148955;-0.000835671;0;0.1;1151.94;0;
105.524;-105.52;0.895275;10.5524;10.5524;-10.552;0.0895275;-10.552;0.0895275;-0.148528;-0.000831663;0;0.1;1113.53;0;
103.719;-103.716;0.79608;10.3719;10.3719;-10.3716;0.079608;-10.3716;0.079608;-0.148109;-0.000827655;0;0.1;1075.77;0;
101.915;-101.912;0.696884;10.1915;10.1915;-10.1912;0.0696884;-10.1912;0.0696884;-0.147697;-0.000823647;0;0.1;1038.66;0;
100.11;-100.108;0.597689;10.011;10.011;-10.0108;0.0597689;-10.0108;0.0597689;-0.147292;-0.000819639;0;0.1;1002.2;0;
98.3055;-98.3043;0.498494;9.83055;9.83055;-9.83043;0.0498494;-9.83043;0.0498494;-0.146894;-0.000815631;0;0.1;966.398;0;
96.5011;-96.5003;0.399298;9.65011;9.65011;-9.65003;0.0399298;-9.65003;0.0399298;-0.146504;-0.000811623;0;0.1;931.247;0;
94.6968;-94.6963;0.300103;9.46968;9.46968;-9.46963;0.0300103;-9.46963;0.0300103;-0.146121;-0.000807615;0;0.1;896.749;0;
