Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
186.841;-186.841;0.119332;18.6841;18.6841;-18.6841;0.0119332;-18.6841;0.0119332;-0.140438;-0.001;0;0.1;3490.94;0;
182.505;-182.505;-0.300044;18.2505;18.2505;-18.2505;-0.0300044;-18.2505;-0.0300044;-0.139698;-0.000995992;0;0.1;3330.82;0;
180.12;-180.12;-0.403771;18.012;18.012;-18.012;-0.0403771;-18.012;-0.0403771;-0.13897;-0.000991984;0;0.1;3244.32;0;
177.027;-177.026;-0.770966;17.7027;17.7027;-17.7026;-0.0770966;-17.7026;-0.0770966;-0.138254;-0.000987976;0;0.1;3133.87;0;
172.255;-172.248;1.58959;17.2255;17.2255;-17.2248;0.158959;-17.2248;0.158959;-0.137554;-0.000983968;0;0.1;2967.18;0;
169.31;-169.304;1.43968;16.931;16.931;-16.9304;0.143968;-16.9304;0.143968;-0.13687;-0.00097996;0;0.1;2866.58;0;
166.365;-166.36;1.28976;16.6365;16.6365;-16.636;0.128976;-16.636;0.128976;-0.136197;-0.000975952;0;0.1;2767.72;0;
163.42;-163.416;1.13985;16.342;16.342;-16.3416;0.113985;-16.3416;0.113985;-0.135536;-0.000971944;0;0.1;2670.6;0;
160.475;-160.472;0.989941;16.0475;16.0475;-16.0472;0.0989941;-16.0472;0.0989941;-0.134887;-0.000967936;0;0.1;2575.22;0;
157.53;-157.528;0.84003;15.753;15.753;-15.7528;0.084003;-15.7528;0.084003;-0.13425;-0.000963928;0;0.1;2481.58;0;
154.586;-154.584;0.690119;15.4586;15.4586;-15.4584;0.0690119;-15.4584;0.0690119;-0.133624;-0.00095992;0;0.1;2389.67;0;
151.641;-151.64;0.540207;15.1641;15.1641;-15.164;0.0540207;-15.164;0.0540207;-0.133011;-0.000955912;0;0.1;2299.5;0;
148.697;-148.696;0.390296;14.8697;14.8697;-14.8696;0.0390296;-14.8696;0.0390296;-0.132409;-0.000951904;0;0.1;2211.07;0;
145.752;-145.752;0.240385;14.5752;14.5752;-14.5752;0.0240385;-14.5752;0.0240385;-0.131819;-0.000947896;0;0.1;2124.37;0;
142.808;-142.808;0.0904733;14.2808;14.2808;-14.2808;0.00904733;-14.2808;0.00904733;-0.13124;-0.000943888;0;0.1;2039.42;0;
139.864;-139.864;-0.059438;13.9864;13.9864;-13.9864;-0.0059438;-13.9864;-0.0059438;-0.130674;-0.00093988;0;0.1;1956.2;0;
136.92;-136.92;-0.209349;13.692;13.692;-13.692;-0.0209349;-13.692;-0.0209349;-0.130119;-0.000935872;0;0.1;1874.72;0;
133.977;-133.976;-0.359261;13.3977;13.3977;-13.3976;-0.0359261;-13.3976;-0.0359261;-0.129576;-0.000931864;0;0.1;1794.98;0;
