Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
387.126;387.124;1.10202;38.7126;38.7126;38.7124;0.110202;38.7124;0.110202;0.510948;-0.000847695;0;0.1;14986.6;0;
377.191;377.169;-4.05573;37.7191;37.7191;37.7169;-0.405573;37.7169;-0.405573;0.50942;-0.000843687;0;0.1;14227.3;0;
371.054;371.035;-3.71846;37.1054;37.1054;37.1035;-0.371846;37.1035;-0.371846;0.50792;-0.000839679;0;0.1;13768.1;0;
364.918;364.902;-3.3812;36.4918;36.4918;36.4902;-0.33812;36.4902;-0.33812;0.506446;-0.000835671;0;0.1;13316.5;0;
358.781;358.768;-3.04393;35.8781;35.8781;35.8768;-0.304393;35.8768;-0.304393;0.504995;-0.000831663;0;0.1;12872.4;0;
352.645;352.635;-2.70667;35.2645;35.2645;35.2635;-0.270667;35.2635;-0.270667;0.50357;-0.000827655;0;0.1;12435.9;0;
346.51;346.501;-2.36941;34.651;34.651;34.6501;-0.236941;34.6501;-0.236941;0.502169;-0.000823647;0;0.1;12006.9;0;
340.374;340.368;-2.03214;34.0374;34.0374;34.0368;-0.203214;34.0368;-0.203214;0.500792;-0.000819639;0;0.1;11585.4;0;
334.239;334.234;-1.69488;33.4239;33.4239;33.4234;-0.169488;33.4234;-0.169488;0.49944;-0.000815631;0;0.1;11171.6;0;
328.104;328.101;-1.35761;32.8104;32.8104;32.8101;-0.135761;32.8101;-0.135761;0.498113;-0.000811623;0;0.1;10765.2;0;
321.969;321.968;-1.02035;32.1969;32.1969;32.1968;-0.102035;32.1968;-0.102035;0.49681;-0.000807615;0;0.1;10366.4;0;
315.835;315.834;-0.683087;31.5835;31.5835;31.5834;-0.0683087;31.5834;-0.0683087;0.495532;-0.000803607;0;0.1;9975.16;0;
309.701;309.701;-0.345823;30.9701;30.9701;30.9701;-0.0345823;30.9701;-0.0345823;0.494278;-0.000799599;0;0.1;9591.46;0;
303.567;303.567;-0.00855902;30.3567;30.3567;30.3567;-0.000855902;30.3567;-0.000855902;0.493049;-0.000795591;0;0.1;9215.3;0;
297.434;297.434;0.328705;29.7434;29.7434;29.7434;0.0328705;29.7434;0.0328705;0.491845;-0.000791583;0;0.1;8846.69;0;
291.301;291.3;0.665969;29.1301;29.1301;29.13;0.0665969;29.13;0.0665969;0.490665;-0.000787575;0;0.1;8485.63;0;
285.168;285.167;1.00323;28.5168;28.5168;28.5167;0.100323;28.5167;0.100323;0.48951;-0.000783567;0;0.1;8132.11;0;
279.036;279.033;1.3405;27.9036;27.9036;27.9033;0.13405;27.9033;0.13405;0.488379;-0.000779559;0;0.1;7786.14;0;
274.383;274.36;-3.54195;27.4383;27.4383;27.436;-0.354195;27.436;-0.354195;0.487267;-0.000775551;0;0.1;7528.61;0;
269.914;269.894;-3.26714;26.9914;26.9914;26.9894;-0.326714;26.9894;-0.326714;0.486176;-0.000771543;0;0.1;7285.36;0;
265.445;265.428;-2.99234;26.5445;26.5445;26.5428;-0.299234;26.5428;-0.299234;0.485103;-0.000767535;0;0.1;7046.11;0;
260.976;260.962;-2.71753;26.0976;26.0976;26.0962;-0.271753;26.0962;-0.271753;0.484049;-0.000763527;0;0.1;6810.87;0;
256.508;256.496;-2.44272;25.6508;25.6508;25.6496;-0.244272;25.6496;-0.244272;0.483012;-0.000759519;0;0.1;6579.63;0;
252.04;252.03;-2.16792;25.204;25.204;25.203;-0.216792;25.203;-0.216792;0.481992;-0.000755511;0;0.1;6352.4;0;
247.572;247.564;-1.89311;24.7572;24.7572;24.7564;-0.189311;24.7564;-0.189311;0.480991;-0.000751503;0;0.1;6129.17;0;
243.104;243.098;-1.6183;24.3104;24.3104;24.3098;-0.16183;24.3098;-0.16183;0.480008;-0.000747495;0;0.1;5909.94;0;
238.636;238.632;-1.3435;23.8636;23.8636;23.8632;-0.13435;23.8632;-0.13435;0.479043;-0.000743487;0;0.1;5694.72;0;
234.15;234.145;-1.55629;23.415;23.415;23.4145;-0.155629;23.4145;-0.155629;0.478095;-0.000739479;0;0.1;5482.61;0;
229.661;229.653;-1.86508;22.9661;22.9661;22.9653;-0.186508;22.9653;-0.186508;0.477166;-0.000735471;0;0.1;5274.42;0;
225.173;225.162;-2.17387;22.5173;22.5173;22.5162;-0.217387;22.5162;-0.217387;0.476254;-0.000731463;0;0.1;5070.27;0;
220.685;220.671;-2.48266;22.0685;22.0685;22.0671;-0.248266;22.0671;-0.248266;0.475361;-0.000727455;0;0.1;4870.18;0;
216.198;216.18;-2.79145;21.6198;21.6198;21.618;-0.279145;21.618;-0.279145;0.474485;-0.000723447;0;0.1;4674.15;0;
211.711;211.688;-3.10024;21.1711;21.1711;21.1688;-0.310024;21.1688;-0.310024;0.473628;-0.000719439;0;0.1;4482.16;0;
207.225;207.197;-3.40902;20.7225;20.7225;20.7197;-0.340902;20.7197;-0.340902;0.472788;-0.000715431;0;0.1;4294.23;0;
202.74;202.706;-3.71781;20.274;20.274;20.2706;-0.371781;20.2706;-0.371781;0.471967;-0.000711423;0;0.1;4110.36;0;
198.256;198.215;-4.0266;19.8256;19.8256;19.8215;-0.40266;19.8215;-0.40266;0.471164;-0.000707415;0;0.1;3930.53;0;
196.497;196.496;0.650874;19.6497;19.6497;19.6496;0.0650874;19.6496;0.0650874;0.470367;-0.000703407;0;0.1;3861.1;0;
192.816;192.815;0.607192;19.2816;19.2816;19.2815;0.0607192;19.2815;0.0607192;0.469587;-0.000699399;0;0.1;3717.81;0;
189.136;189.135;0.563511;18.9136;18.9136;18.9135;0.0563511;18.9135;0.0563511;0.468822;-0.000695391;0;0.1;3577.23;0;
185.455;185.454;0.519829;18.5455;18.5455;18.5454;0.0519829;18.5454;0.0519829;0.468071;-0.000691383;0;0.1;3439.35;0;
