Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
1.06748;-1.06748;0.000292255;0.106748;0.106748;-0.106748;2.92255e-05;-0.106748;2.92255e-05;0.000721409;-0.000851703;0;0.1;0.113951;0;
1.06526;-1.06526;0.000173552;0.106526;0.106526;-0.106526;1.73552e-05;-0.106526;1.73552e-05;0.000725683;-0.000847695;0;0.1;0.113477;0;
1.06452;-1.06452;-0.00103875;0.106452;0.106452;-0.106452;-0.000103875;-0.106452;-0.000103875;0.000729952;-0.000843687;0;0.1;0.113321;0;
1.06288;-1.06288;-0.000949696;0.106288;0.106288;-0.106288;-9.49696e-05;-0.106288;-9.49696e-05;0.000734215;-0.000839679;0;0.1;0.112971;0;
1.06123;-1.06123;-0.000860637;0.106123;0.106123;-0.106123;-8.60637e-05;-0.106123;-8.60637e-05;0.000738472;-0.000835671;0;0.1;0.112622;0;
1.05959;-1.05959;-0.000771577;0.105959;0.105959;-0.105959;-7.71577e-05;-0.105959;-7.71577e-05;0.000742722;-0.000831663;0;0.1;0.112273;0;
1.05795;-1.05795;-0.000682518;0.105795;0.105795;-0.105795;-6.82518e-05;-0.105795;-6.82518e-05;0.000746965;-0.000827655;0;0.1;0.111925;0;
1.0563;-1.0563;-0.000593459;0.10563;0.10563;-0.10563;-5.93459e-05;-0.10563;-5.93459e-05;0.000751202;-0.000823647;0;0.1;0.111577;0;
1.05466;-1.05466;-0.0005044;0.105466;0.105466;-0.105466;-5.044e-05;-0.105466;-5.044e-05;0.000755433;-0.000819639;0;0.1;0.11123;0;
1.05301;-1.05301;-0.000415341;0.105301;0.105301;-0.105301;-4.15341e-05;-0.105301;-4.15341e-05;0.000759656;-0.000815631;0;0.1;0.110884;0;
1.05137;-1.05137;-0.000326282;0.105137;0.105137;-0.105137;-3.26282e-05;-0.105137;-3.26282e-05;0.000763874;-0.000811623;0;0.1;0.110538;0;
1.04973;-1.04973;-0.000237223;0.104973;0.104973;-0.104973;-2.37223e-05;-0.104973;-2.37223e-05;0.000768084;-0.000807615;0;0.1;0.110192;0;
1.04808;-1.04808;-0.000148164;0.104808;0.104808;-0.104808;-1.48164e-05;-0.104808;-1.48164e-05;0.000772288;-0.000803607;0;0.1;0.109847;0;
1.04644;-1.04644;-5.9105e-05;0.104644;0.104644;-0.104644;-5.9105e-06;-0.104644;-5.9105e-06;0.000776486;-0.000799599;0;0.1;0.109503;0;
1.04479;-1.04479;2.9954e-05;0.104479;0.104479;-0.104479;2.9954e-06;-0.104479;2.9954e-06;0.000780677;-0.000795591;0;0.1;0.109159;0;
1.04315;-1.04315;0.000119013;0.104315;0.104315;-0.104315;1.19013e-05;-0.104315;1.19013e-05;0.000784861;-0.000791583;0;0.1;0.108816;0;
1.04151;-1.04151;0.000208072;0.104151;0.104151;-0.104151;2.08072e-05;-0.104151;2.08072e-05;0.000789039;-0.000787575;0;0.1;0.108473;0;
1.03986;-1.03986;0.000297131;0.103986;0.103986;-0.103986;2.97131e-05;-0.103986;2.97131e-05;0.00079321;-0.000783567;0;0.1;0.108131;0;
1.03822;-1.03822;0.00038619;0.103822;0.103822;-0.103822;3.8619e-05;-0.103822;3.8619e-05;0.000797374;-0.000779559;0;0.1;0.10779;0;
1.03643;-1.03643;-0.00154978;0.103643;0.103643;-0.103643;-0.000154978;-0.103643;-0.000154978;0.00080153;-0.000775551;0;0.1;0.107418;0;
1.03424;-1.03424;-0.00142504;0.103424;0.103424;-0.103424;-0.000142504;-0.103424;-0.000142504;0.00080568;-0.000771543;0;0.1;0.106966;0;
1.03206;-1.03206;-0.00130031;0.103206;0.103206;-0.103206;-0.000130031;-0.103206;-0.000130031;0.000809821;-0.000767535;0;0.1;0.106515;0;
1.02988;-1.02988;-0.00117557;0.102988;0.102988;-0.102988;-0.000117557;-0.102988;-0.000117557;0.000813953;-0.000763527;0;0.1;0.106065;0;
1.02769;-1.02769;-0.00105083;0.102769;0.102769;-0.102769;-0.000105083;-0.102769;-0.000105083;0.000818076;-0.000759519;0;0.1;0.105615;0;
1.02551;-1.02551;-0.000926095;0.102551;0.102551;-0.102551;-9.26095e-05;-0.102551;-9.26095e-05;0.000822191;-0.000755511;0;0.1;0.105167;0;
