Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
840.783;840.783;-0.536992;84.0783;84.0783;84.0783;-0.0536992;84.0783;-0.0536992;0.63197;-0.001;0;0.1;70691.6;0;
821.274;821.273;1.3502;82.1274;82.1274;82.1273;0.13502;82.1273;0.13502;0.628639;-0.000995992;0;0.1;67449.1;0;
810.54;810.538;1.81697;81.054;81.054;81.0538;0.181697;81.0538;0.181697;0.625364;-0.000991984;0;0.1;65697.5;0;
796.623;796.616;3.46935;79.6623;79.6623;79.6616;0.346935;79.6616;0.346935;0.622143;-0.000987976;0;0.1;63460.9;0;
775.148;775.115;-7.15314;77.5148;77.5148;77.5115;-0.715314;77.5115;-0.715314;0.618993;-0.000983968;0;0.1;60085.4;0;
761.894;761.867;-6.47854;76.1894;76.1894;76.1867;-0.647854;76.1867;-0.647854;0.615913;-0.00097996;0;0.1;58048.3;0;
748.641;748.619;-5.80394;74.8641;74.8641;74.8619;-0.580394;74.8619;-0.580394;0.612886;-0.000975952;0;0.1;56046.4;0;
735.389;735.371;-5.12934;73.5389;73.5389;73.5371;-0.512934;73.5371;-0.512934;0.609912;-0.000971944;0;0.1;54079.7;0;
722.137;722.123;-4.45474;72.2137;72.2137;72.2123;-0.445474;72.2123;-0.445474;0.606991;-0.000967936;0;0.1;52148.2;0;
708.886;708.876;-3.78014;70.8886;70.8886;70.8876;-0.378014;70.8876;-0.378014;0.604123;-0.000963928;0;0.1;50251.9;0;
695.635;695.628;-3.10553;69.5635;69.5635;69.5628;-0.310553;69.5628;-0.310553;0.601309;-0.00095992;0;0.1;48390.8;0;
682.384;682.38;-2.43093;68.2384;68.2384;68.238;-0.243093;68.238;-0.243093;0.598547;-0.000955912;0;0.1;46564.8;0;
669.135;669.132;-1.75633;66.9135;66.9135;66.9132;-0.175633;66.9132;-0.175633;0.595839;-0.000951904;0;0.1;44774.1;0;
655.885;655.885;-1.08173;65.5885;65.5885;65.5885;-0.108173;65.5885;-0.108173;0.593183;-0.000947896;0;0.1;43018.6;0;
642.637;642.637;-0.40713;64.2637;64.2637;64.2637;-0.040713;64.2637;-0.040713;0.590581;-0.000943888;0;0.1;41298.2;0;
